,Name,Album,Artist,Release_date,Length,Popularity,Track_id,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Valence,Loudness,Speechiness,Tempo,Time_signature
0,Spiral - Sunrise Session,A Sunrise Session,Ólafur Arnalds,2021-02-26,250160,0,1n8VEQ0V6kUIhuMwg6R0eQ,0.982,0.191,0.106,0.905,0.118,0.0634,-17.885,0.0388,75.704,4
1,O I End,O I End,Nils Frahm,2021-02-24,289903,2,4hK0boKyayuoHkQiVMYDGE,0.97,0.179,0.112,0.904,0.116,0.0356,-20.531,0.0361,143.342,4
2,A Leopard's Lullaby,A Leopard's Lullaby,Simon Mulligan,2021-02-26,140346,0,0Bt3fqEY4EMLSfvXZ6HT6O,0.993,0.214,0.0262,0.71,0.102,0.0962,-21.455,0.0438,68.723,3
3,Piazzolla / Transcr. Ducros: Chiquilín de Bachín,Piazzolla Stories,Lucienne Renaudin Vary,2021-02-26,212560,0,2FyZPz8VMau6DsDkFIAKWM,0.988,0.246,0.0515,0.887,0.109,0.157,-19.751,0.0373,97.335,4
4,Ink Dark Moon: II. Largo flessiblile,Talbot: Ink Dark Moon: II. Largo flessiblile,Joby Talbot,2021-02-26,303893,0,3MHJYkfGRD3syRa9EdnN7z,0.953,0.286,0.0489,0.91,0.108,0.0418,-24.146,0.0436,125.77,1
5,"Piano Concerto No.3 in C Major, Op.26: 1. Andante - Allegro",Sergei Prokofiev: Piano Concerto No.3,Sergei Prokofiev,2021-02-26,577093,0,6UIsw8vpaQyNTsqxphUP5t,0.905,0.296,0.192,0.919,0.064,0.0843,-21.166,0.038,138.157,4
6,String Quartet No.6: Movement II,Philip Glass: String Quartet No.6 (2013),Philip Glass,2021-02-26,510508,0,3c7sFAMQkG1yQIPP9gB3TT,0.915,0.146,0.112,0.802,0.0724,0.0405,-19.637,0.0479,167.231,4
7,Orange Sky,Boundless (Original Game Soundtrack),Peter Gregson,2021-02-26,200569,0,4uGIGOSeutNFZmxtT9TXHf,0.911,0.43,0.215,0.96,0.0742,0.0573,-16.588,0.033,179.973,4
8,Avalanche,Avalanche,Thomas Enhco,2021-02-26,266520,0,1F8LwsDutArvYZEj2eydtr,0.972,0.333,0.327,0.925,0.105,0.168,-14.42,0.0356,131.841,3
9,"Prelude from 'Te Deum', H.146","Prelude from 'Te Deum', H.146",Marc-Antoine Charpentier,2021-02-26,81346,0,7qN2hYe6eKWzCujDcAkz1P,0.722,0.386,0.221,0.824,0.169,0.423,-15.163,0.0348,80.262,4
10,"Prelude in B Minor, BWV 855a - Transcr. Alexander Siloti","Prelude in B Minor, BWV 855a (Transcr. Alexander Siloti)",Johann Sebastian Bach,2021-02-24,186080,0,0evHmBpDuROeZW2NAyxVz4,0.986,0.295,0.0596,0.946,0.0887,0.0379,-35.373,0.0485,128.682,4
11,Flying,Immersion,Angèle Dubeau,2021-02-26,303480,0,4wMekUOjBLDF3fLkJCFn9X,0.842,0.197,0.165,0.856,0.261,0.0363,-18.081,0.0393,140.091,4
12,Amber,Amber,Anne Chmelewsky,2021-02-26,261133,0,68VflTvcYMswocyvhtWxK1,0.984,0.201,0.109,0.909,0.093,0.0427,-18.395,0.0395,110.724,4
13,Lambent Rag,Forever Chemicals / Lambent Rag,Clark,2021-02-26,204123,0,0s2X76Inz20xLRqOS2E8qW,0.989,0.574,0.302,0.94,0.116,0.428,-17.991,0.0559,184.013,4
14,"Trio for piano, violin and cello after the Symphony No. 2 in D Major, Op. 36: III. Scherzo. Trio","Beethoven: Triple Concerto, Op. 56 & Trio, Op. 36",Ludwig van Beethoven,2021-02-26,233453,0,0aXqKlntTDuyvRDYwTWqoZ,0.952,0.467,0.124,0.851,0.0942,0.554,-24.861,0.0401,144.201,3
15,Night Shift,Vivaldi Sleep,Antonio Vivaldi,2021-02-25,289320,0,3v0y6LeTkFrszhPhNkHcvJ,0.922,0.401,0.0284,0.768,0.158,0.0807,-24.345,0.0368,50.75,4
16,"Violin Concerto in D Major, Op. 61: II. Larghetto",Mozart - Beethoven,Liya Petrova,2021-02-26,592015,0,5ct90dcfFThgpPKbSvUBNQ,0.945,0.154,0.0144,0.071,0.0812,0.0421,-29.162,0.0466,82.373,4
17,Riverbank,February Sounds,Laura Cannell & Kate Ellis,2021-02-26,286597,0,2vsGFAjZLI2XXJof4Wdaiv,0.978,0.0966,0.156,0.893,0.132,0.112,-16.667,0.0377,170.3,3
18,"Goldberg Variations in G Major, BWV 988: Aria. Andante espressivo — - Arr. for 2 Pianos by Joseph Rheinberger & Max Reger",Bach: Goldberg Variations BWV 988 (Arr. for 2 Pianos by Joseph Rheinberger & Max Reger),Johann Sebastian Bach,2021-02-26,165813,0,5HyGQl2jglJpygxvRsJMMC,0.995,0.356,0.00716,0.947,0.102,0.181,-32.705,0.0554,83.714,1
19,"Cantabile in D Major, Op. 17, MS 109 (Arr. C. Boccadoro for Violin & Piano)",Il Cannone: Francesca Dego Plays Paganini's Violin,Francesca Dego,2021-02-26,310866,0,3wAFKwg2hDcZqyUR6wwXBJ,0.958,0.108,0.0788,0.143,0.0879,0.105,-24.062,0.0478,73.67,3
20,"Symphony No. 5 in B-Flat Major, Op. 100: II. Scherzo Allegro marcato","Symphony No. 5 in B-Flat Major, Op. 100: II. Scherzo Allegro marcato",Sergei Prokofiev,2021-02-23,513880,1,0dnOLBOHiWANgD7LzOSR6h,0.96,0.415,0.148,0.909,0.0796,0.267,-18.514,0.0395,82.646,4
21,Harry Potter and the Chamber of Secrets : The Chamber of Secrets - Orchestral Suite,Harry Potter and the Chamber of Secrets (Orchestral Suite),John Williams,2021-02-26,234266,0,2xi1Zmvh05sZSUGmHat59f,0.924,0.203,0.273,0.958,0.124,0.0374,-14.892,0.0362,93.813,3
22,"Scenes from Childhood, Op. 15: VII. Dreaming","Schumann: Scenes from Childhood, Op. 15: VII. Dreaming",Robert Schumann,2021-02-26,144000,0,4s0zijvTkj2Uk6KLB0pNZg,0.995,0.37,0.0189,0.88,0.0719,0.242,-34.008,0.0589,143.695,3
23,Earthsong (feat. Hugar),Earthsong (feat. Hugar),Dirk Maassen,2021-02-26,316946,0,1QNgu4IKEYPYtpl10OiXLs,0.909,0.203,0.222,0.883,0.0948,0.0334,-18.868,0.0424,92.036,3
24,"Wesendonck Lieder, WWV 91: 4. Schmerzen (Orch. Mottl)","Wagner: Wesendonck Lieder, WWV 91: 4. Schmerzen (Orch. Mottl)",Richard Wagner,2021-02-26,146360,0,7irPG7hz9LgaewysZpC1ja,0.967,0.265,0.19,0.00074,0.117,0.0444,-13.027,0.0383,138.141,5
25,Time - Excerpt,Time (Excerpt),Jacob Mühlrad,2021-02-26,183396,0,6NBSwDtdtofmaaVNB95810,0.972,0.102,0.164,0.454,0.101,0.0312,-19.689,0.041,84.485,4
26,"Piano Concerto No. 17 in G Major, K. 453 (Arr. I. Lachner for Piano & String Quintet): III. Allegretto",Mozart: Piano Concertos Nos. 9 & 17 (Arr. I. Lachner for Piano & String Quintet),Wolfgang Amadeus Mozart,2021-02-26,461346,0,4Xp09IaYObJX9u04Wv6OcJ,0.962,0.407,0.188,0.893,0.132,0.395,-19.804,0.0419,151.927,4
27,"Vier letzte Lieder, TrV 296: IV. Im Abendrot","R. Strauss: Vier letzte Lieder, TrV 296: IV. Im Abendrot",Richard Strauss,2021-02-26,468360,0,1ojXGupfPJoxNAVWHWUEeU,0.985,0.225,0.0478,0.754,0.0912,0.0366,-26.413,0.0452,74.566,4
28,"Piano Sonata No. 53 in E Minor, Hob. XVI:34: III. Finale. Vivace molto","Haydn: Piano Sonatas, Vol. 9",Franz Joseph Haydn,2021-02-26,212493,0,5HwASbpIAnGRLjeASsX1sG,0.988,0.47,0.106,0.867,0.172,0.799,-25.69,0.0422,127.997,4
