,Name,Album,Artist,Release_date,Length,Popularity,Track_id,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Valence,Loudness,Speechiness,Tempo,Time_signature
0,Always Gonna Love You,Life Rolls On,Florida Georgia Line,2021-02-12,177026,64,5wTt43UbS3HmDvzAJ7Yax3,0.165,0.543,0.723,0.0,0.11,0.428,-4.892,0.0499,143.028,4
1,Glad You Exist,Glad You Exist,Dan + Shay,2021-02-05,144533,76,472vIK1ldetTxRxG3ovaiY,0.235,0.748,0.551,0.0,0.119,0.66,-6.12,0.0349,103.953,4
2,Chasing After You (with Maren Morris),Chasing After You (with Maren Morris),Ryan Hurd,2021-02-12,207973,70,1ZIKpMTRPqhwAoVXWY3tXI,0.723,0.596,0.679,0.0,0.116,0.479,-6.395,0.0394,131.912,4
3,Breakups,Breakups,Seaforth,2021-01-14,223129,68,77Bt2DXJE1R1qsnm4D10Ox,0.436,0.531,0.552,0.0,0.0786,0.328,-5.945,0.0309,74.931,3
4,What’s Your Country Song,What's Your Country Song,Thomas Rhett,2020-11-11,170372,73,7Cw3yXDA8Uui37SI5FFaA7,0.000532,0.355,0.706,0.0,0.264,0.523,-6.164,0.0309,174.005,4
5,Ain't No Girly Girl,Ain't No Girly Girl,Taylor Moss,2020-11-20,207500,50,41apHLdnrtAGXMMNehkGNR,0.277,0.663,0.897,2.04e-05,0.0835,0.738,-3.952,0.048,96.05,4
6,Should’ve Known Better,Should’ve Known Better,Carly Pearce,2021-02-05,181183,59,5ZTsje1HfASFxiffjLoITe,0.717,0.66,0.599,0.0,0.13,0.47,-5.924,0.0333,144.048,4
7,Leave Each Other Alone,The Demos,Jess Moskaluke,2021-02-19,224439,35,0s3pw4LuWKjZhTLb1799UB,0.138,0.588,0.779,0.0,0.0805,0.496,-4.141,0.0511,120.048,4
8,The Great Divide,The Great Divide,Luke Combs,2021-02-01,211990,67,3q3lSbfT5BnQlIvGwahgAD,0.597,0.671,0.686,2.24e-06,0.283,0.547,-8.269,0.0271,111.007,4
9,Find Our Way,Find Our Way,Southbound,2020-09-30,164421,50,2414muVNy0au4CtSWEi0AG,0.0341,0.528,0.932,0.0,0.0891,0.581,-2.289,0.0472,98.076,4
10,One Too Many,One Too Many,Keith Urban,2020-09-16,203893,75,5NUXE8W12lWcUXgJRCjeEw,0.247,0.697,0.535,0.0,0.569,0.594,-6.504,0.068,82.959,4
11,Lil Bit,Lil Bit,Nelly,2020-10-23,195962,69,0NmuYnjETG3u3qx0OmEJev,0.0255,0.707,0.689,0.0,0.383,0.41,-7.097,0.0387,119.987,4
12,We Go Together Like,We Go Together Like,Abby Anderson,2020-08-28,163960,61,3mwQ4tEWBWynjw7HJgMiRA,0.172,0.62,0.817,0.0,0.144,0.614,-5.317,0.0254,99.963,4
13,The Good Ones,Goldmine,Gabby Barrett,2020-06-19,215140,74,3hLuHKzG1cmlRpq53ZVWd8,0.18,0.519,0.552,0.0,0.149,0.331,-5.023,0.0259,89.957,4
14,Forever After All,What You See Ain't Always What You Get (Deluxe Edition),Luke Combs,2020-10-23,232533,79,6IBcOGPsniK3Pso1wHIhew,0.191,0.487,0.65,0.0,0.0933,0.456,-5.195,0.0253,151.964,4
15,Dirt Road,Dirt Road,Kidd G,2020-10-02,150889,72,24LyKCgvEia1eAPUbuISlk,0.519,0.796,0.516,0.0,0.126,0.181,-7.891,0.0744,140.012,4
16,Drinkin' Beer. Talkin' God. Amen. (feat. Florida Georgia Line),Drinkin' Beer. Talkin' God. Amen. (feat. Florida Georgia Line),Chase Rice,2020-11-30,160839,71,1UYfAU2bwgjaM5rIIPQleC,0.185,0.627,0.678,0.0,0.374,0.724,-4.691,0.0294,100.032,4
17,Where Do We Go,Where Do We Go,Darlinghurst,2021-01-29,215113,41,4rPT6OP2JWQyv43CWQJYIg,0.0102,0.556,0.768,0.0,0.305,0.706,-6.683,0.0978,177.049,4
18,Cross Country,Cross Country,BRELAND,2021-02-26,206949,0,2YgwcrRc33vIWgv5n2TNZ9,0.82,0.675,0.444,0.0,0.0969,0.293,-7.179,0.0286,117.903,4
19,Lose You,Lose You,Jordan Davis,2020-10-16,203321,72,0vK1vDEvEMvSpFEKW62Qub,0.209,0.649,0.64,0.000532,0.0965,0.42,-6.09,0.0352,94.957,4
20,All I Need,Town of a Million Dreams,Casey Barnes,2020-04-17,217095,48,0s8p5akawSBbBO8KlujxDz,0.605,0.281,0.79,0.000741,0.247,0.515,-4.479,0.0379,82.493,4
21,Country Does,Country Does,Luke Bryan,2021-02-05,228006,60,0Oo9yzhli7r5V5XO6y3GeN,0.0248,0.489,0.863,0.0,0.101,0.534,-3.895,0.0673,173.941,4
22,My Bad,My Bad,Teddy Swims,2021-02-03,177142,55,5ql22UbzPOJrDSjVeTvX6E,0.122,0.76,0.738,0.0,0.0787,0.313,-6.056,0.0596,137.38,4
23,Head Full Of Honey,Head Full Of Honey,Andrew Swift,2021-02-12,243127,39,0ZyHmSPsl6eZkKkKdIOpQb,0.246,0.61,0.888,4.95e-06,0.0663,0.757,-3.707,0.0356,99.611,4
24,She Broke My Heart,She Broke My Heart,Noah Schnacky,2021-02-26,180502,0,5lyyBTTdB9tlNKvni9VwvZ,0.00106,0.544,0.869,8.85e-05,0.0881,0.701,-3.455,0.0763,167.984,4
25,The Way She Does,The Way She Does,Jake Davey,2021-02-08,178750,36,55CGqzJFZBGOAiGCq3w8Wg,0.215,0.584,0.907,0.000197,0.115,0.759,-4.697,0.0489,160.025,4
26,Famous Friends,Famous Friends,Chris Young,2020-11-20,165569,73,4iXDn9pu5Q9sxv45vE8Lak,0.0553,0.533,0.855,0.0,0.335,0.64,-2.901,0.0356,102.017,4
27,Tennessee,Tennessee,Katrina Burgoyne,2020-12-18,212154,35,1SfEypgAP8iZBH2mID42xs,0.19,0.423,0.548,0.0,0.0884,0.474,-11.545,0.0718,118.832,5
