,Name,Album,Artist,Release_date,Length,Popularity,Track_id,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Valence,Loudness,Speechiness,Tempo,Time_signature
0,Moon River,Moon River,The Sweetgreens,2020-10-23,193512,63,4vHQWVCZuQuOmv14z7bLbQ,0.885,0.601,0.0371,0.578,0.0991,0.121,-25.963,0.0399,112.603,4
1,Send In the Clowns,Ain't Misbehavin',Michael Soriano Trio,2020-11-09,206963,53,6GiLNoFv4qkFEuqKpRWPgI,0.941,0.408,0.239,0.851,0.104,0.172,-14.704,0.0341,151.622,3
2,Everything Happens To Me,Presenting The Gerry Mulligan Sextet,Gerry Mulligan,1955-01-01,323373,18,2m8vNmDGz5GCGLxJfWIsJI,0.958,0.63,0.0665,0.771,0.222,0.27,-17.453,0.0725,64.162,4
3,Hush,Hush,Dan Evans-Parker,2020-05-15,226958,59,1DaqNS1d8PFJ3SmYl1lb0y,0.945,0.352,0.0235,0.781,0.115,0.119,-19.128,0.0348,89.874,4
4,Can't Help Falling in Love,Can't Help Falling in Love,Newington Green,2020-12-10,190616,53,0qii8PVr6wKDNVbRM1ak1E,0.843,0.706,0.0548,0.906,0.0814,0.186,-24.024,0.0474,116.311,3
5,If You Could See Me Now,Moon Beams [Original Jazz Classics Remasters],Bill Evans Trio,1962,269853,23,3k1fRAaUFBPMNkulplHupK,0.927,0.528,0.115,0.557,0.232,0.0874,-21.438,0.0328,61.512,4
6,After You've Gone,After You've Gone,Magpie Jazz Trio,2020-03-14,184280,52,1dtR7BTT8888rsckbuzwod,0.974,0.385,0.0787,0.848,0.113,0.147,-18.747,0.0375,60.327,4
7,Longing,Longing,Basinettes,2020-10-02,196783,51,7dgPOj3RPNNreOeAUHSTce,0.869,0.535,0.0689,0.0292,0.0766,0.211,-21.391,0.038,123.288,4
8,Alone Together - Rudy Van Gelder Remaster,Quiet Kenny,Kenny Dorham,1992-01-01,190400,50,3GOZbK2epuHzCt5YvvVFHO,0.985,0.336,0.0619,0.891,0.11,0.197,-20.494,0.0363,60.705,4
9,Once I Had A Secret Love,Dear Old Stockholm,CMC 3,2020-10-02,258185,62,05prboiM4bmlXfvsvghvI1,0.966,0.276,0.232,0.952,0.107,0.157,-17.572,0.0336,81.423,3
10,Ascent,Balance Point,Art Hirahara,2020-04-17,250869,64,4d2YgepBRyYjr1EXM6slZq,0.945,0.465,0.0604,0.893,0.108,0.0394,-23.367,0.042,101.23,4
11,For Heavens Sake,House Of Jade,Eugene Lambert,2019-12-20,227333,57,0RhYQmwfGzHDBV3K8MaMDq,0.98,0.532,0.208,0.825,0.156,0.137,-11.161,0.0328,74.393,4
