,Name,Album,Artist,Release_date,Length,Popularity,Track_id,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Valence,Loudness,Speechiness,Tempo,Time_signature
0,The Sweet Escape,The Sweet Escape (International Version),Gwen Stefani,2006-01-01,246466,0,26eOTllWPn7oKuDUJnsJwF,0.191,0.756,0.77,0.0,0.178,0.73,-3.502,0.0343,119.961,4
1,Miami 2 Ibiza - Swedish House Mafia vs. Tinie Tempah,Disc-Overy,Tinie Tempah,2010-05-31,206460,41,7xqK9Kc2m6Nkn8Settuy16,0.00237,0.736,0.929,1.11e-05,0.402,0.658,-5.89,0.0674,125.03,4
2,Pass Out,Disc-Overy,Tinie Tempah,2010,268053,59,2cY7WSxFIsZQaoDNJe7Fz3,0.0281,0.693,0.891,0.0,0.143,0.532,-3.261,0.296,91.1,4
3,Dog Days Are Over,Between Two Lungs,Florence + The Machine,2010-01-01,252818,0,5vGEdM7LvbgMypJkILhQ4p,0.0363,0.494,0.831,0.00345,0.119,0.271,-5.151,0.0996,150.248,4
4,You've Got The Dirtee Love - Live At The Brit Awards / 2010,Between Two Lungs,Florence + The Machine,2010-01-01,221066,0,44BD9ncgmBTbSSdR21coX6,0.449,0.362,0.911,0.0,0.964,0.471,-4.542,0.194,84.851,3
5,Seven Nation Army,Elephant,The White Stripes,2003-04-01,231920,3,3m6KkYKdnbffMpGd9Pm9FP,0.00666,0.745,0.466,0.35,0.272,0.303,-7.62,0.0864,123.889,4
6,Teenage Dirtbag,50 Summer Hits,Various Artists,2009-06-11,241613,0,39L1UeplZpNWwbSEo8YcNw,0.305,0.619,0.853,0.000176,0.152,0.628,-3.883,0.0518,94.661,4
7,It Wasn't Me,Summer Party,Various Artists,2007-01-01,227720,46,4i387P9kogblRBfjFi3NaX,0.0443,0.85,0.551,0.0,0.329,0.679,-6.596,0.0717,94.751,4
8,Ignition (Remix),The R. In R&B Collection: Volume 1,R. Kelly,2003-09-11,187733,0,0nmxH6IsSQVT1YEsCB9UMi,0.0615,0.787,0.527,0.0,0.0656,0.807,-6.981,0.0512,133.107,4
9,"Lose Yourself - From ""8 Mile"" Soundtrack",Curtain Call: The Hits,Eminem,2005-12-06,326466,0,1JOgNMKbemRhrD9pjL7fKz,0.00971,0.701,0.728,0.00115,0.361,0.0591,-4.554,0.255,171.388,4
10,Earthquake (feat. Tinie Tempah) - Radio Edit,Earthquake (feat. Tinie Tempah),Labrinth,2011-10-23,216386,10,00qGLiQp7RxQqf9ZUjlZva,0.135,0.512,0.835,0.0,0.09,0.309,-4.306,0.135,153.063,4
11,Stacy's Mom,Welcome Interstate Managers,Fountains Of Wayne,2003-01-01,197986,73,27L8sESb3KR79asDUBu8nW,0.00207,0.774,0.75,1.78e-05,0.0808,0.927,-4.927,0.0412,118.015,4
12,Low (feat. T-Pain),Mail on Sunday,Flo Rida,2008-03-17,231400,79,0CAfXk7DXMnon4gLudAp7J,0.0928,0.918,0.609,0.0,0.139,0.304,-5.64,0.0791,128.008,4
13,Where Is The Love?,Elephunk,Black Eyed Peas,2003-01-01,272533,61,7oPnZNl1acGA7ELxsNirrR,0.111,0.834,0.699,0.0,0.131,0.803,-3.222,0.196,94.069,4
14,I Gotta Feeling,The Beginning & The Best Of The E.N.D. (International Mega-Deluxe Version),Black Eyed Peas,2010-01-01,289186,0,1u0aIMrEBvFkRtgcg264gW,0.0792,0.74,0.751,0.0,0.392,0.634,-6.324,0.0275,127.956,4
15,Song 2,Blur: The Best Of,Blur,2000-10-23,121880,64,3GfOAdcoc3X5GPiiXmpBjK,0.00188,0.658,0.709,0.00447,0.0657,0.855,-6.736,0.0904,129.699,4
16,Fire,Fire,Kasabian,2009-05-29,251946,45,7K2vo9oSUzFgmtIXNYegzP,0.0867,0.526,0.741,0.128,0.108,0.17,-5.663,0.0311,117.031,4
17,Feel Good Inc.,Demon Days,Gorillaz,2005-05-23,222640,80,0d28khcov6AiegSCpG5TuT,0.00836,0.818,0.705,0.00233,0.613,0.772,-6.679,0.177,138.559,4
18,Pumped Up Kicks,Torches,Foster The People,2011-05-23,239600,83,7w87IxuO7BDcJ3YUqCyMTT,0.145,0.733,0.71,0.115,0.0956,0.965,-5.849,0.0292,127.975,4
19,Ni**as In Paris,Watch The Throne (Deluxe),JAY-Z,2011-08-08,219333,79,4Li2WHPkuyCdtmokzW2007,0.127,0.789,0.858,0.0,0.349,0.775,-5.542,0.311,140.022,4
20,POWER,My Beautiful Dark Twisted Fantasy,Kanye West,2010-01-01,292093,0,2RUFzxyUlI36KKy9Agkqze,0.0193,0.539,0.907,0.0,0.825,0.553,-4.757,0.13,154.0,4
21,Gold Digger,Late Registration,Kanye West,2005-01-01,207626,60,3QHPHLAkYV5cQBUYs6rowx,0.0195,0.629,0.696,0.0,0.0554,0.623,-5.572,0.348,93.034,4
22,Acceptable in the 80's,I Created Disco,Calvin Harris,2007-06-18,332826,43,7JPZYBDynF6KlqJyLfTI3K,0.0134,0.789,0.807,0.27,0.055,0.934,-5.417,0.0504,127.996,4
23,Jump Around,House Of Pain (US Release),House Of Pain,1992,214946,0,2oTDOIAdsxPTE7yAp4YOcv,0.0113,0.854,0.71,8.72e-05,0.166,0.818,-6.32,0.0793,106.894,4
24,Changed The Way You Kiss Me - Radio Edit,Playing In The Shadows,Example,2011-09-04,193107,0,0KBEVz2V72Ozn3AoXbpuXR,0.0082,0.562,0.811,0.000286,0.0765,0.211,-4.355,0.0416,127.029,4
25,Dance Wiv Me,Tongue N' Cheek (Dirtee Deluxe Edition),Dizzee Rascal,2009,204093,0,2Slm8U9Ql1TlzHMC7gOCec,0.0488,0.885,0.745,0.0,0.164,0.778,-4.362,0.0448,112.005,4
26,Wearing My Rolex - Radio Edit,See Clear Now,Wiley,2008-11-10,170480,58,5liQj4sVRmEEESvvcb64o8,0.0468,0.876,0.716,0.000482,0.0667,0.755,-6.884,0.135,131.942,4
27,99 Problems,The Black Album (Explicit),JAY-Z,2003-11-14,234626,0,1l6DvDFssUqMnsFJNFnrRJ,0.00661,0.494,0.887,0.0,0.103,0.548,-4.297,0.398,89.554,4
28,Dynamite,The Rokstarr Hits Collection,Taio Cruz,2010-01-01,202613,78,2CEgGE6aESpnmtfiZwYlbV,0.00379,0.751,0.783,0.0,0.036,0.816,-3.724,0.0859,119.975,4
