Name,Artist,Popularity,Danceability,Energy,Loudness,Valence,kmeans
Hoops,The Rubens,0,0.738,0.517,-5.82,0.772,3
King Kunta,Kendrick Lamar,72,0.884,0.657,-4.569,0.489,2
Lean On (feat. MØ & DJ Snake),Major Lazer,0,0.723,0.809,-3.081,0.274,0
The Less I Know The Better,Tame Impala,84,0.64,0.74,-4.083,0.785,3
Let It Happen,Tame Impala,74,0.602,0.881,-5.875,0.577,2
The Trouble with Us,Marcus Marr,0,0.828,0.744,-4.932,0.831,3
Do You Remember,Jarryd James,35,0.662,0.334,-10.012,0.315,1
The Buzz (feat. Mataya & Young Tapz),Hermitude,56,0.739,0.583,-6.434,0.497,2
Can't Feel My Face,The Weeknd,0,0.702,0.77,-5.416,0.593,2
Magnets,Disclosure,62,0.704,0.628,-7.882,0.654,2
Never Be,Meg Mac,29,0.572,0.592,-8.195,0.271,0
You Were Right,RÜFÜS DU SOL,0,0.708,0.802,-5.427,0.701,3
Ocean Drive,Duke Dumont,39,0.686,0.718,-5.054,0.557,2
Hotline Bling,Drake,0,0.896,0.623,-8.008,0.585,2
Like Soda,Violent Soho,0,0.359,0.911,-3.791,0.252,0
Fire and the Flood,Vance Joy,0,0.6,0.79,-5.466,0.345,1
Middle,DJ Snake,0,0.564,0.737,-4.079,0.211,0
"Downtown (feat. Melle Mel, Grandmaster Caz, Kool Moe Dee & Eric Nally)",Macklemore & Ryan Lewis,0,0.828,0.609,-4.402,0.707,3
The Hills,The Weeknd,0,0.356,0.567,-7.011,0.109,0
Mountain at My Gates,Foals,65,0.495,0.931,-5.336,0.617,2
Magnolia,Gang of Youths,0,0.429,0.665,-6.985,0.321,1
Keeping Score (feat. Paige IV),L D R U,45,0.629,0.618,-5.51,0.644,2
Embracing Me,SAFIA,0,0.716,0.681,-5.144,0.167,0
Some Minds (feat. Andrew Wyatt),Flume,0,0.263,0.555,-6.884,0.191,0
Shine On,The Amity Affliction,45,0.48,0.973,-2.586,0.495,2
I Know There's Gonna Be (Good Times),Jamie xx,6,0.458,0.595,-9.912,0.502,2
Young,Vallis Alps,57,0.584,0.384,-12.144,0.184,0
Like An Animal,RÜFÜS DU SOL,0,0.705,0.754,-6.27,0.401,1
Greek Tragedy,The Wombats,66,0.515,0.869,-4.732,0.452,1
Say My Name (feat. Benjamin Joseph),Peking Duk,25,0.478,0.635,-6.601,0.595,2
Loud Places,Jamie xx,8,0.647,0.626,-10.753,0.185,0
Leave A Trace,CHVRCHES,0,0.587,0.736,-5.824,0.177,0
Long Loud Hours,Urthboy,0,0.404,0.548,-6.772,0.296,1
Eventually,Tame Impala,65,0.424,0.615,-6.217,0.155,0
Counting Sheep,SAFIA,0,0.777,0.524,-6.549,0.617,2
All My Friends (feat. Tinashe & Chance the Rapper),Snakehips,72,0.689,0.521,-5.845,0.178,0
Alright,Kendrick Lamar,72,0.796,0.766,-5.974,0.558,2
Delilah,Florence + The Machine,49,0.426,0.87,-3.821,0.414,1
Swear Jar,Illy,42,0.692,0.632,-7.009,0.836,3
Ship To Wreck,Florence + The Machine,51,0.564,0.923,-3.843,0.587,2
Puppet Theatre,Claptone,0,0.936,0.648,-6.72,0.663,2
Hold Me Down,Halsey,60,0.677,0.744,-4.512,0.531,2
Pedestrian at Best,Courtney Barnett,0,0.479,0.854,-6.101,0.535,2
Something About You,Hayden James,62,0.861,0.602,-7.314,0.684,2
Throne,Bring Me The Horizon,73,0.426,0.888,-3.72,0.387,1
Go,The Chemical Brothers,46,0.751,0.897,-3.598,0.482,2
Dynamite (feat. Allday),Asta,24,0.79,0.758,-5.982,0.901,3
Crushed,Parkway Drive,53,0.404,0.964,-4.569,0.24,0
Too Much Time Together,San Cisco,49,0.563,0.841,-5.35,0.954,3
Deception Bay,Boo Seeka,35,0.483,0.801,-5.253,0.302,1
Clearest Blue,CHVRCHES,0,0.641,0.832,-5.873,0.167,0
Cream On Chrome - Single Edit,Ratatat,22,0.79,0.692,-4.704,0.82,3
Monday,Matt Corby,16,0.299,0.522,-6.394,0.229,0
Working For It,ZHU,55,0.776,0.715,-6.587,0.502,2
Multi-Love,Unknown Mortal Orchestra,62,0.784,0.506,-5.243,0.545,2
Alive,Sia,51,0.32,0.752,-4.91,0.392,1
Foolish,Alpine,28,0.673,0.672,-6.01,0.77,3
Vice Grip,Parkway Drive,57,0.48,0.988,-3.229,0.252,0
Run,Alison Wonderland,49,0.507,0.779,-5.763,0.109,0
Kamikaze,MØ,57,0.663,0.878,-3.195,0.704,3
'Cause I'm A Man,Tame Impala,63,0.547,0.695,-4.969,0.641,2
Omen - Radio Edit,Disclosure,64,0.671,0.786,-4.857,0.621,2
Walk the Wire,Boy & Bear,34,0.535,0.895,-4.985,0.703,3
L$D,A$AP Rocky,75,0.598,0.252,-15.086,0.0352,0
Don't Wanna Fight,Alabama Shakes,0,0.597,0.915,-3.298,0.555,2
M.O.B.,Tkay Maidza,0,0.692,0.852,-3.454,0.429,1
Give Me a Try,The Wombats,44,0.623,0.922,-3.013,0.681,2
Shutdown,Skepta,0,0.656,0.746,-4.716,0.824,3
Forces,Japanese Wallpaper,0,0.597,0.754,-7.264,0.591,2
What Kind Of Man,Florence + The Machine,51,0.313,0.635,-4.676,0.224,0
Flesh without Blood,Grimes,0,0.481,0.965,-2.993,0.66,2
Anchor,Birds Of Tokyo,10,0.597,0.716,-4.771,0.554,2
Once - Radio Edit,Ngaiire,0,0.76,0.48,-10.455,0.12,0
Powerful (feat. Ellie Goulding & Tarrus Riley),Major Lazer,0,0.598,0.792,-4.043,0.732,3
Elevator Operator,Courtney Barnett,0,0.682,0.769,-7.197,0.769,3
Suddenly,British India,0,0.532,0.828,-5.081,0.578,2
Lay Down,DMA'S,0,0.329,0.832,-2.208,0.461,1
Weathered,Jack Garratt,0,0.367,0.497,-7.311,0.291,1
Wolves,The Cat Empire,24,0.659,0.9,-5.461,0.856,3
"Everyday (feat. Rod Stewart, Miguel & Mark Ronson)",A$AP Rocky,73,0.394,0.661,-8.684,0.335,1
Depreston,Courtney Barnett,0,0.692,0.467,-11.577,0.422,1
Down To Earth - Radio Edit,Flight Facilities,0,0.735,0.622,-5.526,0.417,1
Heart Attack - Radio Edit,Flight Facilities,0,0.707,0.555,-10.484,0.173,0
Happy Song,Bring Me The Horizon,66,0.295,0.924,-3.407,0.219,0
begin again,Purity Ring,23,0.598,0.565,-7.764,0.328,1
Party Machine,The Bennies,19,0.589,0.889,-4.446,0.619,2
High By The Beach,Lana Del Rey,66,0.536,0.486,-11.067,0.0968,0
Gemini (feat. George Maple),What So Not,53,0.481,0.687,-6.748,0.188,0
Be Your Shadow,The Wombats,37,0.636,0.965,-2.897,0.551,2
No One (feat. Thelma Plum),Golden Features,46,0.766,0.549,-10.578,0.255,0
Indian Summer,Jai Wolf,58,0.507,0.824,-2.501,0.0394,0
Ghost,Halsey,61,0.57,0.606,-8.085,0.212,0
Nobody Really Cares If You Don't Go to the Party,Courtney Barnett,0,0.421,0.93,-5.133,0.574,2
Rumour Mill (feat. Anne-Marie & Will Heard),Rudimental,50,0.842,0.534,-8.547,0.761,3
Twilight Driving,Methyl Ethel,51,0.599,0.744,-6.502,0.585,2
Be Together (feat. Wild Belle),Major Lazer,0,0.497,0.627,-6.141,0.193,0
True Friends,Bring Me The Horizon,66,0.419,0.938,-3.12,0.333,1
Hell Boy,Seth Sentry,0,0.726,0.792,-3.395,0.492,2
Never Be Like You (feat. Kai),Flume,0,0.54,0.59,-4.359,0.267,0
Adore,Amy Shark,0,0.592,0.438,-10.054,0.259,0
Jungle,Tash Sultana,0,0.592,0.701,-5.879,0.509,2
1955,Hilltop Hoods,63,0.766,0.5,-7.558,0.71,3
Redbone,Childish Gambino,0,0.743,0.372,-10.459,0.575,2
Papercuts (feat. Vera Blue),Illy,52,0.369,0.618,-6.304,0.467,1
Say It,Flume,0,0.367,0.532,-6.837,0.261,0
Stranger (feat. Elliphant),Peking Duk,55,0.528,0.874,-3.028,0.376,1
Starboy,The Weeknd,1,0.681,0.594,-7.028,0.535,2
Chameleon,PNAU,0,0.718,0.934,-3.153,0.239,0
Cocoon,Milky Chance,0,0.732,0.708,-5.978,0.749,3
Love$ick,Mura Masa,0,0.65,0.776,-5.059,0.772,3
Viceroy,Violent Soho,0,0.69,0.73,-5.54,0.574,2
Genghis Khan,Miike Snow,41,0.699,0.837,-3.264,0.414,1
Jan-26,A.B. Original,30,0.835,0.63,-4.221,0.608,2
The Opposite of Us,Big Scary,0,0.747,0.802,-5.768,0.585,2
All Night (feat. Knox Fortune),Chance the Rapper,65,0.704,0.777,-5.729,0.392,1
7,Catfish and the Bottlemen,0,0.524,0.726,-4.92,0.311,1
On Hold,The xx,0,0.725,0.669,-6.582,0.338,1
Death to the Lads,The Smith Street Band,0,0.222,0.854,-3.859,0.417,1
Ultralight Beam,Kanye West,0,0.672,0.397,-8.804,0.372,1
Catch 22 (feat. Anne-Marie),Illy,42,0.765,0.561,-7.464,0.584,2
Come on Mess Me Up,Cub Sport,0,0.345,0.593,-5.568,0.0392,0
Because I Love You,Montaigne,35,0.764,0.834,-3.45,0.964,3
Make Them Wheels Roll,SAFIA,39,0.729,0.66,-5.53,0.458,1
Drive,Gretta Ray,0,0.697,0.475,-7.763,0.356,1
Frankie Sinatra,The Avalanches,0,0.693,0.854,-5.816,0.837,3
Our Town,Sticky Fingers,11,0.545,0.813,-5.394,0.628,2
Innerbloom (What So Not Remix),RÜFÜS DU SOL,55,0.417,0.71,-6.628,0.101,0
One Dance,Drake,2,0.791,0.619,-5.886,0.371,1
Notion,Tash Sultana,0,0.352,0.414,-6.6,0.0688,0
Bullshit,Dune Rats,29,0.499,0.967,-6.476,0.419,1
Scott Green,Dune Rats,0,0.566,0.93,-5.98,0.536,2
World Of Our Love,Client Liaison,44,0.851,0.89,-6.156,0.579,2
Sad Songs,Sticky Fingers,0,0.422,0.955,-2.994,0.299,1
Smoke & Retribution (feat. Vince Staples & Kucka),Flume,0,0.743,0.574,-6.028,0.403,1
Youth,Glass Animals,0,0.648,0.733,-7.803,0.752,3
Step Up The Morphine,DMA'S,0,0.444,0.803,-3.621,0.476,2
Surfin',Kid Cudi,57,0.809,0.685,-7.916,0.827,3
I Feel It Coming,The Weeknd,1,0.769,0.813,-5.9,0.567,2
Heartlines,Broods,0,0.659,0.677,-4.129,0.273,0
Final Song,MØ,67,0.695,0.672,-6.109,0.245,0
Satan,D.D Dumbo,0,0.797,0.685,-7.775,0.682,2
Dang! (feat. Anderson .Paak),Mac Miller,72,0.836,0.67,-6.907,0.556,2
Walrus,D.D Dumbo,0,0.611,0.666,-6.777,0.854,3
Creepin,Kingswood,0,0.397,0.593,-7.369,0.393,1
Higher,Hilltop Hoods,53,0.737,0.669,-9.127,0.621,2
Strange Diseases,Gang of Youths,20,0.521,0.769,-6.143,0.417,1
Outcast at Last,Sticky Fingers,31,0.441,0.905,-3.666,0.752,3
Blanket,Violent Soho,0,0.476,0.912,-5.101,0.48,2
Bored To Death,blink-182,0,0.502,0.966,-3.876,0.638,2
Say a Prayer For Me,RÜFÜS DU SOL,0,0.821,0.675,-6.661,0.551,2
Twice,Catfish and the Bottlemen,0,0.409,0.793,-4.603,0.313,1
Girlie Bits,Ali Barter,3,0.457,0.767,-5.644,0.453,1
Solo,Frank Ocean,68,0.444,0.287,-10.631,0.246,0
Drinkee,Sofi Tukker,0,0.773,0.663,-8.101,0.324,1
Gamma Knife,King Gizzard & The Lizard Wizard,0,0.326,0.915,-5.269,0.544,2
Marinade,DOPE LEMON,0,0.677,0.74,-6.528,0.679,2
Life Itself,Glass Animals,0,0.696,0.62,-8.346,0.674,2
Alaska,Maggie Rogers,0,0.853,0.353,-12.146,0.141,0
All Fucked Up,The Amity Affliction,55,0.511,0.876,-4.287,0.291,1
I Bring the Weather with Me,The Amity Affliction,27,0.283,0.973,-3.359,0.0962,0
Next To You (feat. Savoi),L D R U,34,0.443,0.882,-4.623,0.43,1
So Sentimental,Violent Soho,0,0.567,0.846,-5.546,0.684,2
Wolfie (feat. Julia Stone),Golden Features,48,0.599,0.585,-7.284,0.214,0
Free,Broods,0,0.607,0.757,-3.536,0.446,1
Famous,Kanye West,0,0.357,0.751,-3.771,0.455,1
No Shade,Violent Soho,0,0.658,0.934,-4.861,0.623,2
Lost (Season One),Camp Cope,18,0.302,0.859,-3.066,0.684,2
Because I'm Me,The Avalanches,23,0.472,0.805,-5.793,0.512,2
This Could Be Heartbreak,The Amity Affliction,22,0.568,0.99,-2.906,0.545,2
Soundcheck,Catfish and the Bottlemen,0,0.602,0.749,-5.794,0.618,2
Settle,Vera Blue,0,0.605,0.457,-7.105,0.201,0
Burn the Witch,Radiohead,14,0.541,0.847,-6.52,0.62,2
Panda,Desiigner,1,0.679,0.734,-5.542,0.245,0
Gemini Feed,BANKS,33,0.768,0.654,-6.223,0.543,2
Think About It,Thundamentals,0,0.69,0.919,-3.593,0.269,0
Simulation,Tkay Maidza,18,0.776,0.89,-4.395,0.916,3
Pink + White,Frank Ocean,78,0.544,0.552,-7.45,0.554,2
My Love Is Gone,SAFIA,25,0.731,0.778,-5.803,0.761,3
Dopamine (feat. Thief),Bliss n Eso,0,0.557,0.754,-7.508,0.284,1
Uptown Folks,DOPE LEMON,0,0.475,0.824,-4.935,0.408,1
Me and Your Mama,Childish Gambino,0,0.555,0.454,-11.806,0.214,0
Over You,SAFIA,0,0.597,0.544,-6.711,0.607,2
