name,album,artist,id,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature,mood
1999,1999,Prince,2H7PHVdQ3mXqEHXcvclTB0,27/10/1982,68,379266,0.866,0.137,0.73,0,0.0843,0.625,-8.201,0.0767,118.523,5,4,Happy
99 Luftballons,99 Luftballons,Nena,6HA97v4wEGQ5TUClRM0XLc,21/08/1984,2,233000,0.466,0.089,0.438,5.62E-06,0.113,0.587,-12.858,0.0608,193.1,4,4,Happy
A Little Less Conversation - JXL Radio Edit Remix,Elvis 75 - Good Rockin' Tonight,Elvis Presley,4l2hnfUx0esSbITQa7iJt0,28/12/2009,1,211173,0.586,0.000155,0.935,0.277,0.159,0.58,-9.386,0.0482,114.997,4,4,Happy
Africa,Toto IV,TOTO,2374M0fQpWi3dLnB54qaLX,8/04/1982,84,295893,0.671,0.257,0.373,7.95E-05,0.0481,0.732,-18.064,0.0323,92.717,9,4,Happy
All or Nothing (feat. Axel Ehnstr̦m) - Deluxe Mix,Less is More (Deluxe),Lost Frequencies,15bAMg00o4VdWmQrlkbfG3,14/07/2017,22,170458,0.737,0.226,0.816,0.453,0.621,0.533,-9.22,0.0411,124.014,4,4,Happy
Anthem,Anthem,EDX,1SSAvErVyid5OXzmtGZKkg,30/03/2018,44,158483,0.664,0.00152,0.86,0.894,0.197,0.249,-4.505,0.0345,121.991,7,4,Happy
Are You Gonna Be My Girl,Get Born,Jet,305WCRhhS10XUcH6AEwZk6,15/09/2003,75,213800,0.613,0.00148,0.953,0.000582,0.152,0.537,-3.435,0.0855,105.046,2,4,Happy
Beautiful Life,Beautiful Life,Lost Frequencies,2s25Z079T5KRzfqEQRMQQ4,3/06/2016,31,161463,0.732,0.127,0.52,0.0347,0.139,0.339,-6.684,0.0376,119.979,2,4,Happy
Bennie And The Jets - Remastered 2014,Goodbye Yellow Brick Road (40th Anniversary Celebration/ Super Deluxe Edition),Elton John,3iJxloILmOu2NIRZ0OGyui,5/10/1973,0,322548,0.666,0.251,0.668,5.77E-06,0.499,0.765,-7.961,0.0523,132.666,0,4,Happy
Better Together,In Between Dreams,Jack Johnson,4VywXu6umkIQ2OS0m1I79y,1/01/2005,72,207680,0.868,0.308,0.347,2.00E-05,0.11,0.659,-9.529,0.0536,110.059,5,4,Happy
Blow,Blow,Yves V,4nX11Rjdh7AuM8Ezb73m1R,15/05/2017,0,165000,0.603,0.0186,0.902,0.683,0.105,0.135,-5.979,0.0494,127.973,5,4,Happy
Body Rock,Body Rock,Bingo Players,3wcaYUOKVSEbmmGB43YGqf,16/11/2018,46,158212,0.627,0.00919,0.944,0.00311,0.444,0.551,-4.459,0.344,126.078,5,4,Happy
Bottom Of The Sea,Bottom Of The Sea,Isaac Elton,5OTdNMpl1EPr3tOLyyRIc3,11/07/2017,48,242213,0.775,0.00681,0.66,0.171,0.22,0.425,-7.929,0.0444,126.022,0,4,Happy
Brimful of Asha - Norman Cook Remix,Why Try Harder - Greatest Hits,Fatboy Slim,5BegkNkGXa6TUobnxy5LFL,1/06/2006,0,238933,0.663,0.18,0.957,0,0.348,0.937,-2.823,0.0584,125.678,11,4,Happy
Butterfly,The Gift Of Game,Crazy Town,4BggEwLhGfrbrl7JBhC8EC,4/11/1999,71,216733,0.736,0.00132,0.811,0.000142,0.107,0.609,-4.17,0.081,103.502,9,4,Happy
California Dreamin',If You Can Believe Your Eyes And Ears,The Mamas & The Papas,63rva3TBizr6x1Yp5uwKfD,1966-03,50,157960,0.554,0.628,0.667,0,0.0486,0.597,-10.226,0.0342,112.749,1,4,Happy
Chocolate,The 1975,The 1975,4WiiRw2PHMNQE0ad6y6GdD,1/01/2013,66,224673,0.614,0.000532,0.938,0,0.368,0.607,-4.461,0.0611,100.058,11,4,Happy
Clap Your Hands,Clap Your Hands,Sia,18cST7DK31Ab2rTH1POP6A,9/04/2010,44,238466,0.699,0.000532,0.87,0.0219,0.359,0.778,-4.925,0.0546,120.033,0,4,Happy
Come On Eileen,Too Rye Ay (Deluxe Edition),Dexys Midnight Runners,5uzNa0SBGOe5pPnstWHMCt,1982-08,1,273720,0.466,0.413,0.615,0,0.343,0.812,-9.102,0.0492,108.016,0,4,Happy
Count On You - ATFC's C-thru Remix,Count On You (ATFC's C-thru Remix),Autoerotique,7GL2SOvJXs8QVLX0cUADeq,16/07/2018,42,235594,0.825,0.00735,0.925,0.808,0.057,0.567,-7.502,0.0463,123.025,4,4,Happy
Crash,Crash,Chris Malinchak,1FXlhqcYaiw6KuUYtXdtAi,7/03/2018,57,232981,0.689,0.000455,0.456,0.882,0.07,0.238,-12.307,0.0339,126,2,4,Happy
Crazy,St. Elsewhere,Gnarls Barkley,1vxw6aYJls2oq3gW0DujAo,24/04/2006,77,177466,0.855,0.0505,0.587,0.00714,0.105,0.64,-4.589,0.0336,111.97,8,4,Happy
Crazy Horses,Crazy Horses,The Osmonds,6LqbJXriVJyqJCd9jYoPqP,14/10/1972,46,153173,0.512,0.215,0.977,0,0.343,0.731,-4.505,0.0671,120.165,2,4,Happy
Daar Gaat Ze,Clouseau30,Clouseau,7kMPC3vgXk3o9xUP3GWAJ0,1/09/2017,5,227906,0.639,0.78,0.492,0,0.117,0.666,-8.497,0.0288,87.033,5,4,Happy
Dance Little Sister,Introducing The Hardline According To Terence Trent D'Arby,Terence Trent D'Arby,4o9Kj7onklt6xbYl3jVArp,6/07/1987,53,234640,0.722,0.161,0.696,0,0.0755,0.93,-11.095,0.0901,115.397,2,4,Happy
Deep Dark Jungle,Deep Dark Jungle,Nicky Romero,0FTDvOs2mzgHAqL31PBXO5,8/03/2019,0,145714,0.587,0.000405,0.97,0.772,0.202,0.146,-4.512,0.216,128.069,8,4,Happy
Don't Stop,Rumours,Fleetwood Mac,4SXU3lUZ1eb4JWWbkQw43Y,4/02/1977,0,192133,0.686,0.0398,0.632,2.20E-06,0.0686,0.88,-11.433,0.0353,118.965,9,4,Happy
Don't Stop Me Now - 2011 Mix,Jazz (Deluxe Remastered Version),Queen,7hQJA50XrCWABAu5v6QZ4i,10/11/1978,74,209413,0.563,0.0472,0.865,0.000191,0.77,0.601,-5.277,0.16,156.271,5,4,Happy
Don't You (Forget About Me) - Remastered,Celebrate (Greatest Hits),Simple Minds,0A4PZuepTcIQVvA5m7R0M1,25/03/2013,11,263973,0.602,0.00398,0.784,0.0852,0.0931,0.918,-7.976,0.0313,133.019,11,4,Happy
Down On The Corner,Willy And The Poor Boys (40th Anniversary Edition),Creedence Clearwater Revival,4YMLW13PuuO7o3jkIWlKAs,2/11/1969,0,166280,0.831,0.594,0.544,0.00389,0.0736,0.856,-9.288,0.0837,108.177,0,4,Happy
Driver's Seat,Fickle Heart (Plus Two Bonus Cuts),Sniff 'n' The Tears,0fJFBbpUxTwjhh1ScBQjeX,1978,56,240746,0.754,0.0186,0.804,0.0604,0.207,0.972,-7.189,0.0368,132.967,11,4,Happy
Easy Lover,Chinese Wall,Philip Bailey,7INi4pMPG4IE0Smx5y4KVf,20/03/1985,68,304506,0.749,0.0674,0.699,0.00192,0.0763,0.935,-13.108,0.0371,128.904,1,4,Happy
Edge of Seventeen,Crystal Visions...The Very Best of Stevie Nicks,Stevie Nicks,2id8E4WvczfKHB4LHI7Np3,27/03/2007,70,329680,0.59,0.277,0.828,5.57E-06,0.0868,0.636,-6.28,0.0439,111.353,0,4,Happy
Every Kinda People,Double Fun,Robert Palmer,5jkUfQV3wlplyoz0PUja09,1/01/1978,0,199200,0.631,0.248,0.547,0.000119,0.0523,0.962,-12.626,0.036,94.533,6,4,Happy
Everyday People,R&B: From Doo-Wop To Hip-Hop,Various Artists,7lL2lMWNtzOcf5HnEudNgn,8/10/1999,63,139506,0.813,0.245,0.619,0.0151,0.113,0.774,-8.203,0.0294,114.58,7,4,Happy
Expedition,Expedition,Skytech,2MlnLVsrTJmHmdpzJQcQ6w,20/09/2019,51,150947,0.639,0.00288,0.974,0.596,0.349,0.353,-4.13,0.057,130,7,4,Happy
Fascination,This Is Alphabeat,Alphabeat,4uqNn56KFQ7NtJ35xWZKvf,10/12/2007,0,181666,0.491,0.000285,0.831,7.88E-05,0.0761,0.828,-5.321,0.0349,193.968,6,4,Happy
Free,TOGETHER,Third Party,6s2T9kuNYNZKsG5Fa1LiDN,15/03/2019,50,228971,0.481,0.0238,0.922,0.00185,0.0971,0.246,-4.17,0.064,127.931,3,4,Happy
Freya,Cantec De Leagane / Freya,Dave Pad,0aaTrekfgJgLiH00lnPKm7,24/03/2017,46,284878,0.64,0.000211,0.667,0.899,0.0748,0.288,-10.19,0.0379,122.994,11,4,Happy
Friday I'm In Love,Wish,The Cure,4QlzkaRHtU8gAdwqjWmO8n,1/01/1992,76,215160,0.526,0.00126,0.763,6.75E-05,0.359,0.514,-12.663,0.0341,136.205,0,4,Happy
Game Time (feat. Ninja),Game Time (feat. Ninja),3LAU,229MM2St7SnW43nT8ADlG8,30/11/2018,52,156631,0.534,8.05E-05,0.957,0.758,0.266,0.52,-4.025,0.0455,95.046,1,4,Happy
Geno - 2000 Remaster,Searching For The Young Soul Rebels,Dexys Midnight Runners,7gb626DDDHoiuVAGZEnlJk,1980-07,55,207226,0.481,0.688,0.6,0.00633,0.963,0.818,-8.722,0.0801,124.637,6,4,Happy
Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,Get Lucky (feat. Pharrell Williams & Nile Rodgers) [Radio Edit],Daft Punk,2Foc5Q5nqNiosCNqttzHof,19/04/2013,78,248413,0.794,0.0426,0.811,1.07E-06,0.101,0.862,-8.966,0.038,116.047,6,4,Happy
Get Up Offa That Thing,20 All-Time Greatest Hits!,James Brown,0nyrltZrQGAJMBZc1bYvuQ,1991,53,250200,0.883,0.225,0.664,2.30E-06,0.941,0.8,-10.395,0.411,118.104,4,4,Happy
Good Times,Risqu̩,CHIC,0G3fbPbE1vGeABDEZF0jeG,30/07/1979,66,495400,0.87,0.149,0.657,0.0102,0.053,0.893,-7.32,0.0522,110.596,2,4,Happy
Good Vibrations - Remastered,Good Vibrations 40th Anniversary,The Beach Boys,2oF7FZHIJbzjeEXZ3D0Ku4,1/01/2006,66,217746,0.403,0.387,0.495,8.03E-06,0.147,0.38,-6.888,0.0312,132.912,10,4,Happy
Groove Is in the Heart,Rhino Hi-Five: Deee-Lite,Deee-Lite,2UVLuddklEVak5PXgC7baA,19/04/2005,65,231786,0.694,0.0153,0.881,0.0196,0.0851,0.924,-4.053,0.0701,121.554,1,4,Happy
Happy Ending,Body And Soul,Joe Jackson,1qv9TWDpXh50DPLgWD4bnH,1/01/1984,51,218466,0.635,0.0973,0.808,0,0.141,0.726,-5.026,0.0262,131.377,9,4,Happy
Happy Together,Happy Together,The Turtles,1JO1xLtVc8mWhIoE3YaCL0,1967,74,176293,0.584,0.55,0.367,1.38E-05,0.0818,0.588,-9.638,0.0328,120.175,6,4,Happy
