,Name,Album,Artist,Release_date,Length,Popularity,Acousticness,Danceability,Energy,Instrumentalness,Liveness,valence,Loudness,Speechiness,Tempo,Time_signature
0,Never Be Like You (feat. Kai),Never Be Like You (feat. Kai),Flume,2016-01-16,234909,0,0.446,0.54,0.59,0.0,0.14,0.267,-4.359,0.0528,119.878,4
1,Adore,Adore,Amy Shark,2016-07-26,184999,0,0.193,0.592,0.438,0.0,0.0564,0.259,-10.054,0.0391,67.445,4
2,Jungle,Jungle,Tash Sultana,2016-09-06,315602,0,0.276,0.592,0.701,0.000103,0.0882,0.509,-5.879,0.0292,146.032,4
3,1955,"Drinking From The Sun, Walking Under Stars Restrung",Hilltop Hoods,2016-02-19,239280,63,0.719,0.766,0.5,5.91e-06,0.304,0.71,-7.558,0.0695,84.044,4
4,Redbone,Redbone,Childish Gambino,2016-11-17,326880,0,0.194,0.743,0.372,0.014,0.12,0.575,-10.459,0.132,160.07,4
5,Papercuts (feat. Vera Blue),Papercuts (feat. Vera Blue),Illy,2016-07-08,255889,52,0.161,0.369,0.618,0.0,0.257,0.467,-6.304,0.249,191.863,4
6,Say It,Say It,Flume,2016-04-21,262521,0,0.0665,0.367,0.532,4.09e-06,0.0628,0.261,-6.837,0.0402,70.16,4
7,Stranger (feat. Elliphant),Stranger (feat. Elliphant),Peking Duk,2016-10-21,206393,55,0.045,0.528,0.874,0.0,0.0888,0.376,-3.028,0.0456,105.042,4
8,Starboy,Starboy,The Weeknd,2016-11-25,230453,1,0.165,0.681,0.594,3.49e-06,0.134,0.535,-7.028,0.282,186.054,4
9,Chameleon,Chameleon,PNAU,2016-11-04,198020,0,0.00149,0.718,0.934,0.000131,0.324,0.239,-3.153,0.0379,119.989,4
10,Cocoon,Cocoon,Milky Chance,2016-11-11,254013,0,0.0715,0.732,0.708,0.000161,0.0824,0.749,-5.978,0.0324,114.033,4
11,Love$ick,Love$ick,Mura Masa,2016-09-30,192154,0,0.138,0.65,0.776,0.00417,0.27,0.772,-5.059,0.139,88.89,4
12,Viceroy,WACO,Violent Soho,2016-03-18,194479,0,0.00284,0.69,0.73,0.000112,0.0696,0.574,-5.54,0.0493,124.019,4
13,Genghis Khan,Genghis Khan,Miike Snow,2015-12-03,212139,41,0.0388,0.699,0.837,2.24e-06,0.581,0.414,-3.264,0.0437,94.005,4
14,January 26,January 26,A.B. Original,2016-08-19,200816,30,0.0658,0.835,0.63,0.0,0.264,0.608,-4.221,0.205,98.034,4
15,The Opposite of Us,The Opposite of Us,Big Scary,2016-06-30,262506,0,0.286,0.747,0.802,0.00293,0.102,0.585,-5.768,0.035,117.012,4
16,All Night (feat. Knox Fortune),Coloring Book,Chance the Rapper,2016-05-27,141542,65,0.0358,0.704,0.777,0.0,0.151,0.392,-5.729,0.195,111.921,4
17,7,7,Catfish and the Bottlemen,2016-04-20,256306,0,0.000238,0.524,0.726,0.00276,0.0978,0.311,-4.92,0.0437,155.089,4
18,On Hold,On Hold,The xx,2016-11-10,224133,0,0.0571,0.725,0.669,0.159,0.107,0.338,-6.582,0.0351,125.046,4
19,Death to the Lads,Death to the Lads,The Smith Street Band,2016-11-04,211573,0,0.0107,0.222,0.854,0.000153,0.317,0.417,-3.859,0.0513,74.626,4
20,Ultralight Beam,The Life Of Pablo,Kanye West,2016-06-10,320680,0,0.627,0.672,0.397,0.0,0.54,0.372,-8.804,0.381,105.71,4
21,Catch 22 (feat. Anne-Marie),Catch 22 (feat. Anne-Marie),Illy,2016-10-10,221417,42,0.0981,0.765,0.561,0.0,0.141,0.584,-7.464,0.0987,97.447,4
22,Come on Mess Me Up,Come on Mess Me Up,Cub Sport,2016-02-19,203640,0,0.0621,0.345,0.593,5.72e-06,0.128,0.0392,-5.568,0.0324,149.724,4
23,Because I Love You,Because I Love You,Montaigne,2016-06-03,217626,35,0.115,0.764,0.834,0.0,0.0364,0.964,-3.45,0.0331,118.006,4
24,Make Them Wheels Roll,Make Them Wheels Roll,SAFIA,2016-03-04,245666,39,0.378,0.729,0.66,0.167,0.118,0.458,-5.53,0.0356,95.029,4
25,Drive,Drive,Gretta Ray,2016-08-01,299519,0,0.0273,0.697,0.475,0.0022,0.101,0.356,-7.763,0.0265,105.997,4
26,Frankie Sinatra,Wildflower,The Avalanches,2016-07-08,224013,0,0.683,0.693,0.854,0.0,0.683,0.837,-5.816,0.354,95.527,4
27,Our Town,Our Town,Sticky Fingers,2016-07-15,195414,11,0.00108,0.545,0.813,0.000193,0.121,0.628,-5.394,0.0244,90.012,4
28,Innerbloom (What So Not Remix),Innerbloom (What So Not Remix),RÜFÜS DU SOL,2016-03-18,277199,55,0.138,0.417,0.71,5.76e-05,0.152,0.101,-6.628,0.0987,138.369,4
29,One Dance,Views,Drake,2016-05-06,173986,2,0.00784,0.791,0.619,0.00423,0.351,0.371,-5.886,0.0532,103.989,4
30,Notion,Notion,Tash Sultana,2016-06-17,341000,0,0.391,0.352,0.414,0.00831,0.185,0.0688,-6.6,0.0254,60.042,4
31,Bullshit,Bullshit,Dune Rats,2016-05-06,180581,29,9.19e-05,0.499,0.967,0.0,0.352,0.419,-6.476,0.105,139.002,4
32,Scott Green,Scott Green,Dune Rats,2016-11-25,130586,0,0.000238,0.566,0.93,2.92e-05,0.183,0.536,-5.98,0.161,140.003,4
33,World Of Our Love,World Of Our Love,Client Liaison,2016-11-02,270627,44,0.0706,0.851,0.89,0.000623,0.128,0.579,-6.156,0.0489,116.99,4
34,Sad Songs,Westway (The Glitter & The Slums),Sticky Fingers,2016-09-30,203492,0,0.000116,0.422,0.955,0.0614,0.177,0.299,-2.994,0.0695,127.047,4
35,Smoke & Retribution (feat. Vince Staples & Kucka),Smoke & Retribution (feat. Vince Staples & Kucka),Flume,2016-01-29,241282,0,0.164,0.743,0.574,0.0,0.0922,0.403,-6.028,0.346,120.877,4
36,Youth,Youth,Glass Animals,2016-07-18,230693,0,0.108,0.648,0.733,0.00473,0.113,0.752,-7.803,0.0306,96.003,4
37,Step Up The Morphine,Hills End,DMA'S,2016-02-26,175214,0,4.7e-05,0.444,0.803,1.12e-06,0.123,0.476,-3.621,0.0309,112.505,4
38,Surfin',Surfin',Kid Cudi,2016-09-30,238386,57,0.11,0.809,0.685,0.00363,0.183,0.827,-7.916,0.045,130.008,4
39,I Feel It Coming,Starboy,The Weeknd,2016-11-25,269186,1,0.429,0.769,0.813,0.0,0.0952,0.567,-5.9,0.143,92.985,4
40,Heartlines,Heartlines,Broods,2016-06-10,197000,0,0.47,0.659,0.677,0.0,0.0615,0.273,-4.129,0.0763,90.069,4
41,Final Song,Final Song,MØ,2016-05-13,235826,67,0.014,0.695,0.672,8.44e-05,0.0756,0.245,-6.109,0.0345,104.988,4
42,Satan,Satan,D.D Dumbo,2016-05-18,275893,0,0.28,0.797,0.685,0.496,0.224,0.682,-7.775,0.0922,119.984,4
43,Dang! (feat. Anderson .Paak),The Divine Feminine,Mac Miller,2016-09-16,305350,72,0.00826,0.836,0.67,0.000355,0.0837,0.556,-6.907,0.23,107.018,4
44,Walrus,Walrus,D.D Dumbo,2016-08-17,190986,0,0.301,0.611,0.666,0.121,0.122,0.854,-6.777,0.0631,175.911,4
45,Creepin,Creepin,Kingswood,2016-10-12,226000,0,0.0473,0.397,0.593,0.0,0.139,0.393,-7.369,0.0372,175.424,4
46,Higher,"Drinking From The Sun, Walking Under Stars Restrung",Hilltop Hoods,2016-02-19,269720,53,0.281,0.737,0.669,0.0151,0.11,0.621,-9.127,0.0483,111.99,4
47,Strange Diseases,Strange Diseases,Gang of Youths,2016-05-16,199586,20,0.00296,0.521,0.769,0.000871,0.508,0.417,-6.143,0.0378,120.959,4
48,Outcast at Last,Outcast at Last,Sticky Fingers,2016-03-31,154149,31,5.93e-05,0.441,0.905,0.0215,0.223,0.752,-3.666,0.0743,183.981,4
49,Blanket,Blanket,Violent Soho,2016-07-11,228573,0,0.00111,0.476,0.912,0.0051,0.601,0.48,-5.101,0.0423,159.956,4
50,Bored To Death,Bored To Death,blink-182,2016-04-27,235613,0,0.00575,0.502,0.966,1.56e-06,0.117,0.638,-3.876,0.0946,159.948,4
51,Say a Prayer For Me,Say a Prayer For Me,RÜFÜS DU SOL,2016-01-13,277324,0,0.227,0.821,0.675,0.019,0.0765,0.551,-6.661,0.0709,116.014,4
52,Twice,Twice,Catfish and the Bottlemen,2016-05-20,196946,0,0.000211,0.409,0.793,0.0338,0.414,0.313,-4.603,0.0772,136.631,4
53,Girlie Bits,Girlie Bits,Ali Barter,2016-08-30,191780,3,0.00297,0.457,0.767,0.0146,0.126,0.453,-5.644,0.0356,153.084,4
54,Solo,Blonde,Frank Ocean,2016-08-20,257380,68,0.849,0.444,0.287,2.82e-06,0.161,0.246,-10.631,0.0375,124.027,4
55,Drinkee,Drinkee,Sofi Tukker,2015-10-02,297507,0,0.0557,0.773,0.663,0.61,0.229,0.324,-8.101,0.0496,115.002,4
56,Gamma Knife,Gamma Knife,King Gizzard & The Lizard Wizard,2016-03-07,261463,0,0.00106,0.326,0.915,0.484,0.401,0.544,-5.269,0.045,104.203,3
57,Marinade,Honey Bones,DOPE LEMON,2016-06-10,237961,0,0.242,0.677,0.74,0.0146,0.105,0.679,-6.528,0.0243,110.193,4
58,Life Itself,Life Itself,Glass Animals,2016-05-16,280415,0,0.0169,0.696,0.62,0.176,0.349,0.674,-8.346,0.0346,111.994,4
59,Alaska,Alaska,Maggie Rogers,2016-06-17,188717,0,0.416,0.853,0.353,0.00614,0.0987,0.141,-12.146,0.043,103.989,4
60,All Fucked Up,This Could Be Heartbreak,The Amity Affliction,2016-08-12,229760,55,0.0338,0.511,0.876,0.0,0.645,0.291,-4.287,0.0337,142.056,4
61,I Bring the Weather with Me,I Bring the Weather with Me,The Amity Affliction,2016-05-19,276413,27,0.0153,0.283,0.973,0.0,0.356,0.0962,-3.359,0.288,173.848,4
62,Next To You (feat. Savoi),Next To You (feat. Savoi),L D R U,2016-04-22,176117,34,0.0013,0.443,0.882,0.0,0.13,0.43,-4.623,0.068,170.123,4
63,So Sentimental,WACO,Violent Soho,2016-03-18,252226,0,0.0052,0.567,0.846,0.13,0.111,0.684,-5.546,0.0285,126.028,4
64,Wolfie (feat. Julia Stone),Wolfie / Funeral,Golden Features,2016-11-29,203636,48,0.0642,0.599,0.585,0.000207,0.0743,0.214,-7.284,0.0725,119.985,4
65,Free,Free,Broods,2016-04-01,222840,0,0.021,0.607,0.757,0.0,0.248,0.446,-3.536,0.0563,89.992,4
66,Famous,Famous,Kanye West,2016-03-28,196280,0,0.0479,0.357,0.751,0.0,0.123,0.455,-3.771,0.176,174.0,4
67,No Shade,No Shade,Violent Soho,2016-09-30,250973,0,0.0229,0.658,0.934,0.000207,0.0927,0.623,-4.861,0.0401,122.006,4
68,Lost (Season One),Lost (Season One),Camp Cope,2016-01-22,232143,18,0.00963,0.302,0.859,0.043,0.105,0.684,-3.066,0.0453,155.676,4
69,Because I'm Me,Wildflower,The Avalanches,2016-07-08,252800,23,0.0491,0.472,0.805,0.0162,0.337,0.512,-5.793,0.086,94.922,4
70,This Could Be Heartbreak,This Could Be Heartbreak,The Amity Affliction,2016-07-11,233760,22,0.101,0.568,0.99,0.0,0.356,0.545,-2.906,0.0826,131.991,4
71,Soundcheck,Soundcheck,Catfish and the Bottlemen,2016-02-16,261560,0,0.00112,0.602,0.749,0.0764,0.413,0.618,-5.794,0.0385,135.041,4
72,Settle,Settle,Vera Blue,2016-03-11,218230,0,0.331,0.605,0.457,0.0205,0.113,0.201,-7.105,0.0321,81.96,4
73,Burn the Witch,Burn the Witch,Radiohead,2016-05-03,220609,14,0.303,0.541,0.847,0.271,0.109,0.62,-6.52,0.0297,148.937,4
74,Panda,Panda,Desiigner,2016-02-26,247866,1,0.0241,0.679,0.734,1.65e-06,0.369,0.245,-5.542,0.444,145.028,4
75,Gemini Feed,Gemini Feed,BANKS,2016-08-02,186333,33,0.203,0.768,0.654,0.000235,0.168,0.543,-6.223,0.0762,102.01,4
76,Think About It,Think About It,Thundamentals,2016-11-18,234103,0,0.0176,0.69,0.919,0.000283,0.0897,0.269,-3.593,0.0383,122.015,4
77,Simulation,Tkay,Tkay Maidza,2016-10-28,205826,18,0.0708,0.776,0.89,0.000268,0.308,0.916,-4.395,0.049,104.99,4
78,Pink + White,Blonde,Frank Ocean,2016-08-20,184516,78,0.67,0.544,0.552,4.57e-05,0.415,0.554,-7.45,0.0991,159.738,3
79,My Love Is Gone,My Love Is Gone,SAFIA,2016-09-02,257353,25,0.0212,0.731,0.778,0.000169,0.473,0.761,-5.803,0.0473,125.03,4
80,Dopamine (feat. Thief),Dopamine (feat. Thief),Bliss n Eso,2016-09-29,212994,0,0.174,0.557,0.754,0.00028,0.339,0.284,-7.508,0.225,171.939,4
81,Uptown Folks,Uptown Folks,DOPE LEMON,2016-03-11,288013,0,0.0846,0.475,0.824,0.155,0.136,0.408,-4.935,0.0395,117.239,4
82,Me and Your Mama,Me and Your Mama,Childish Gambino,2016-11-10,379213,0,0.0116,0.555,0.454,0.0294,0.0708,0.214,-11.806,0.0338,118.003,3
83,Over You,Over You,SAFIA,2016-07-01,187915,0,0.0145,0.597,0.544,3.02e-06,0.127,0.607,-6.711,0.0859,177.807,4
84,Anything Near Conviction,Anything Near Conviction,Luca Brasi,2016-03-08,227738,17,0.000507,0.504,0.961,0.000112,0.273,0.531,-4.876,0.0645,154.161,4
85,Subways,Subways,The Avalanches,2016-06-22,190906,0,0.17,0.502,0.867,0.0247,0.638,0.547,-6.77,0.0614,111.788,3
86,How To Taste,WACO,Violent Soho,2016-03-18,270773,0,0.000117,0.493,0.91,0.00451,0.425,0.591,-7.184,0.0335,152.98,4
87,High And Low,High And Low,Empire of the Sun,2016-08-24,224840,0,0.0193,0.508,0.782,3.03e-06,0.089,0.286,-4.667,0.0454,126.917,4
88,Fading,Fading,Vallis Alps,2016-11-17,280055,49,0.515,0.662,0.482,0.00553,0.119,0.294,-9.786,0.0464,98.05,4
89,Lose It,Skin,Flume,2016-05-27,225852,0,0.0847,0.606,0.854,0.0,0.215,0.605,-2.765,0.322,129.977,4
90,Hanging by a Thread (feat. Natalie Foster),Hanging by a Thread (feat. Natalie Foster),Elk Road,2016-09-02,203800,0,0.0104,0.77,0.794,0.0327,0.13,0.107,-5.51,0.026,105.007,4
91,You Don't Think You Like People Like Me,You Don't Think You Like People Like Me,Alex Lahey,2016-02-23,227000,0,0.0179,0.583,0.935,0.0,0.144,0.549,-2.851,0.186,157.994,4
92,Season 2 Episode 3,Season 2 Episode 3,Glass Animals,2016-08-22,243509,0,0.565,0.739,0.283,2.77e-05,0.239,0.666,-7.965,0.114,148.01,4
93,Too Good,Views,Drake,2016-05-06,263373,1,0.0573,0.804,0.648,3.49e-05,0.102,0.392,-7.805,0.117,117.983,4
94,Brace,Brace,Birds Of Tokyo,2016-09-21,288431,0,0.000939,0.477,0.779,9.51e-06,0.0773,0.133,-5.107,0.0313,157.98,4
95,Panda,Panda,Desiigner,2015-12-15,246595,0,0.15,0.802,0.639,0.0,0.37,0.35,-7.905,0.361,145.276,4
96,Starboy,Starboy,The Weeknd,2016-09-21,230466,0,0.145,0.679,0.599,2.17e-06,0.143,0.511,-7.081,0.282,185.999,4
97,Starboy,Starboy,The Weeknd,2016-09-21,230466,0,0.145,0.679,0.599,2.17e-06,0.143,0.511,-7.081,0.282,185.999,4
