,Name,Album,Artist,Release_date,Length,Popularity,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Valence,Loudness,Speechiness,Tempo,Time_signature
0,bad guy,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,2019-03-29,194087,86,0.328,0.701,0.425,0.13,0.1,0.562,-10.965,0.375,135.128,4
1,Rushing Back,Rushing Back,Flume,2019-09-25,231663,69,0.357,0.574,0.612,0.0,0.158,0.368,-4.741,0.0781,136.046,3
2,Charlie,Driving Music,Mallrat,2019-09-06,190953,58,0.202,0.624,0.589,2e-05,0.0974,0.286,-6.799,0.0302,115.09,4
3,Dance Monkey,Dance Monkey,Tones And I,2019-05-10,209754,68,0.688,0.825,0.593,0.000161,0.17,0.54,-6.401,0.0988,98.078,4
4,Bulls On Parade - triple j Like A Version,Bulls On Parade (triple j Like A Version),Denzel Curry,2019-03-15,269686,50,0.000491,0.228,0.919,3.24e-05,0.0878,0.696,-7.953,0.317,176.192,4
5,Drink Too Much,About Us,G Flip,2019-08-30,220627,0,0.0681,0.704,0.683,0.0,0.166,0.71,-4.536,0.0412,93.959,4
6,Robbery,Robbery,Lime Cordiale,2019-09-20,223233,56,0.421,0.687,0.708,0.242,0.213,0.89,-8.133,0.0891,152.937,4
7,Heavy Hearted,Heavy Hearted,The Jungle Giants,2019-07-08,256581,63,0.00166,0.642,0.887,2.73e-05,0.0906,0.246,-4.566,0.0563,127.062,4
8,Better in Blak,Better in Blak,Thelma Plum,2019-04-26,192466,45,0.0186,0.673,0.849,0.000274,0.116,0.375,-5.242,0.0544,148.002,4
9,Exit Sign,The Great Expanse,Hilltop Hoods,2019-02-22,223386,62,0.126,0.698,0.789,0.0,0.0768,0.814,-5.736,0.203,99.83,4
10,Circles,Hollywood's Bleeding,Post Malone,2019-09-06,215280,87,0.192,0.695,0.762,0.00244,0.0863,0.553,-3.497,0.0395,120.042,4
11,By Myself,Almost Free,FIDLAR,2019-01-25,214640,46,0.00433,0.634,0.898,0.0,0.332,0.778,-4.265,0.0996,120.972,4
12,Inappropriate Behaviour,Inappropriate Behaviour,Lime Cordiale,2019-05-17,253066,56,0.0436,0.6,0.734,0.0148,0.0941,0.695,-7.619,0.066,93.016,4
13,Purple Hat,Purple Hat,Sofi Tukker,2019-09-06,178369,71,0.331,0.777,0.744,0.0073,0.088,0.654,-7.42,0.204,94.019,4
14,Never Seen the Rain,Never Seen the Rain,Tones And I,2019-07-15,200755,64,0.44,0.485,0.461,0.0,0.232,0.324,-5.646,0.0444,87.009,4
15,everything i wanted,everything i wanted,Billie Eilish,2019-11-13,245425,84,0.902,0.704,0.225,0.657,0.106,0.243,-14.454,0.0994,120.006,4
