,Name,Album,Artist,Release_date,Length,Popularity,Track_id,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Valence,Loudness,Speechiness,Tempo,Time_signature
0,Heat Waves,Heat Waves,Glass Animals,2020-06-29,238805,81,6CDzDgIUqeDY5g8ujExx2f,0.44,0.761,0.525,6.7e-06,0.0921,0.531,-6.9,0.0944,80.87,4
1,Booster Seat,Sunlight,Spacey Jane,2020-06-12,268880,71,5th1bFGGaXLM7wDBJpcF06,0.0418,0.629,0.551,1.18e-06,0.108,0.699,-5.402,0.0263,111.961,4
2,The Difference,The Difference,Flume,2020-03-11,139662,72,4nlvKIIetOWGIMyhjQXgOZ,0.255,0.56,0.865,0.000153,0.083,0.424,-1.148,0.0909,159.96,4
3,Cherub,Cherub,Ball Park Music,2020-08-27,328973,59,1byz2Dig9pILIfya2X1WGS,0.411,0.561,0.368,0.000357,0.148,0.23,-8.776,0.033,127.989,4
4,Lost In Yesterday,The Slow Rush,Tame Impala,2020-02-14,249586,71,5JWPUEov2wlX7c0jhYZpeB,0.0295,0.569,0.84,0.000118,0.0995,0.749,-4.123,0.118,183.059,3
5,WAP (feat. Megan Thee Stallion),WAP (feat. Megan Thee Stallion),Cardi B,2020-08-07,187541,89,4Oun2ylbjFKMPTiaSbbCih,0.0194,0.935,0.454,0.0,0.0824,0.357,-7.509,0.375,133.073,4
6,Hyperfine,Hyperfine,G Flip,2020-05-06,220501,58,4iqVQrt8pmzSn8VFkC8jAP,0.0998,0.715,0.635,2.08e-05,0.113,0.232,-6.747,0.0444,102.021,4
7,Sending Me Ur Loving,Sending Me Ur Loving,The Jungle Giants,2020-01-17,253940,64,1QwhWld3yDy65MJCeBelCp,0.00133,0.733,0.583,0.00441,0.0814,0.62,-7.437,0.0347,123.006,4
8,I'm Good?,I'm Good?,Hilltop Hoods,2020-05-01,160186,64,1EuI95kVxZYLbENy8d6AOI,0.311,0.901,0.761,0.0,0.065,0.96,-5.986,0.0704,119.984,4
9,Therefore I Am,Therefore I Am,Billie Eilish,2020-11-12,174321,91,54bFM56PmE4YLRnqpW6Tha,0.218,0.889,0.34,0.13,0.055,0.716,-7.773,0.0697,94.009,4
10,On Our Own,On Our Own,Lime Cordiale,2020-04-17,216636,58,6tnedmxMVEHzPJfWucWzHo,0.00149,0.705,0.692,0.000193,0.137,0.772,-7.271,0.0303,125.933,4
11,Get on the Beers,Get on the Beers,Mashd N Kutcher,2020-10-26,193593,61,10nAcod21q3CCIYXRSk7AZ,0.0325,0.687,0.961,0.0,0.356,0.686,-4.684,0.231,123.952,4
12,Rockstar,Rockstar,Mallrat,2020-10-01,208988,57,4ui2HoMD04KdlWjsTM343e,0.116,0.566,0.738,0.078,0.11,0.539,-4.534,0.0282,88.971,4
13,Tombstone,Tombstone,Ocean Alley,2019-12-11,241173,57,0E4ioSPXXQIy46ZcklqHpR,0.0503,0.397,0.527,0.008,0.12,0.796,-9.625,0.0263,169.015,4
14,Skin,Sunlight,Spacey Jane,2020-06-12,194000,59,4CUy1J06k4bPDWYoDUOqPZ,0.0295,0.394,0.811,0.00181,0.17,0.804,-4.306,0.0291,124.209,4
15,Screw Loose,Screw Loose,Lime Cordiale,2020-07-03,254405,53,7dp10RH9vHZw35hbXmJOps,0.0185,0.657,0.559,0.002,0.147,0.562,-8.176,0.0452,151.871,4
16,Is It True,The Slow Rush,Tame Impala,2020-02-14,239266,71,6RZmhpvukfyeSURhf4kZ0d,0.00307,0.731,0.664,0.35,0.133,0.661,-5.474,0.0302,118.018,4
17,Tangerine,Dreamland,Glass Animals,2020-08-07,200583,67,40rOlDoGejXXF4B0BYsjx8,0.114,0.845,0.583,0.000536,0.1,0.842,-5.948,0.0773,149.941,4
18,You should be sad,Manic,Halsey,2020-01-17,205473,78,7lidXGPXPYLNThITAOTlkK,0.143,0.591,0.585,0.0,0.109,0.324,-6.35,0.0277,110.94,4
19,Addicted To The Sunshine,14 Steps To A Better You,Lime Cordiale,2020-07-10,270837,51,3Rb7HXCPIzxBbelwdL15O3,0.0187,0.677,0.636,1.7e-06,0.321,0.889,-8.901,0.0284,126.027,4
20,Energy,Energy,Stace Cadet,2020-04-24,208550,65,7gOdmNazfs5qdtsgWOB1Z4,0.000327,0.703,0.822,0.682,0.278,0.443,-5.142,0.0366,125.004,4
21,Complicated,Complicated,Eves Karydas,2020-06-03,197977,57,7FfNuPXsmhAKaNPyhjecyt,0.155,0.84,0.503,0.0,0.355,0.663,-6.775,0.0607,108.882,4
22,Good News,Good News,Mac Miller,2020-01-09,342040,64,3ClBKQkKoaUQ6UOhe2xlJK,0.853,0.794,0.32,0.134,0.112,0.241,-12.92,0.173,174.088,4
