Name,Album,Artist,Release_date,Length,Popularity,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Valence,Loudness,Speechiness,Tempo,Time_signature
King Kunta,To Pimp A Butterfly,Kendrick Lamar,16/03/2015,234693,72,0.00589,0.884,0.657,0,0.154,0.489,-4.569,0.0977,107.059,4
The Less I Know The Better,Currents,Tame Impala,17/07/2015,216320,84,0.0115,0.64,0.74,0.00678,0.167,0.785,-4.083,0.0284,116.879,4
Let It Happen,Currents,Tame Impala,17/07/2015,467586,74,0.00462,0.602,0.881,0.0266,0.111,0.577,-5.875,0.0443,125.012,4
Do You Remember,Jarryd James EP,Jarryd James,3/09/2015,234426,35,0.169,0.662,0.334,0.000458,0.124,0.315,-10.012,0.0584,72.014,4
The Buzz (feat. Mataya & Young Tapz),Dark Night Sweet Light,Hermitude,28/08/2015,221786,56,0.33,0.739,0.583,0.00137,0.122,0.497,-6.434,0.173,140.941,4
Magnets,Caracal (Deluxe),Disclosure,25/09/2015,199245,62,0.0626,0.704,0.628,1.49E-06,0.103,0.654,-7.882,0.162,92.005,4
Never Be,Never Be,Meg Mac,7/08/2015,253043,29,0.262,0.572,0.592,4.06E-05,0.0967,0.271,-8.195,0.0379,99.915,4
Ocean Drive,Blasé Boys Club (Pt. 1),Duke Dumont,2/10/2015,206320,39,0.00637,0.686,0.718,0.000703,0.119,0.557,-5.054,0.0431,115.026,4
Mountain at My Gates,What Went Down,Foals,28/08/2015,244293,65,0.0025,0.495,0.931,0.0783,0.246,0.617,-5.336,0.0469,104.05,4
Keeping Score (feat. Paige IV),Keeping Score (feat. Paige IV),L D R U,25/09/2015,182950,45,0.0245,0.629,0.618,0,0.0938,0.644,-5.51,0.0918,92.071,4
Shine On,Shine On,The Amity Affliction,13/11/2015,225311,45,0.0154,0.48,0.973,0,0.451,0.495,-2.586,0.092,94.332,4
I Know There's Gonna Be (Good Times),In Colour,Jamie xx,1/06/2015,213622,6,0.117,0.458,0.595,0,0.506,0.502,-9.912,0.217,89.571,4
Young,Vallis Alps,Vallis Alps,6/01/2015,324122,57,0.72,0.584,0.384,0.288,0.0964,0.184,-12.144,0.0675,93.981,4
Greek Tragedy,Glitterbug (Deluxe Edition),The Wombats,14/04/2015,209557,66,0.00257,0.515,0.869,2.01E-06,0.21,0.452,-4.732,0.0672,93.24,4
Say My Name (feat. Benjamin Joseph),Songs to Sweat to,Peking Duk,31/07/2015,187533,25,0.179,0.478,0.635,0,0.644,0.595,-6.601,0.0567,174.021,4
Loud Places,In Colour,Jamie xx,1/06/2015,283066,8,0.00422,0.647,0.626,0.323,0.122,0.185,-10.753,0.0424,109.015,4
Eventually,Currents,Tame Impala,17/07/2015,318591,65,0.0158,0.424,0.615,0.000389,0.0844,0.155,-6.217,0.0325,77.935,4
