name,album,artist,id,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature,mood
23,23,Blonde Redhead,4HIwL9ii9CcXpTOTzMq0MP,16/04/2007,43,318800,0.381,0.0189,0.832,0.196,0.153,0.166,-5.069,0.0492,120.255,8,4,Sad
9 Crimes,9,Damien Rice,5GZEeowhvSieFDiR8fQ2im,6/11/2006,60,217946,0.346,0.913,0.139,7.73E-05,0.0934,0.116,-15.326,0.0321,136.168,0,4,Sad
Algo Rhythm,TemporÃ¤r Musik 1-13,One Sentence. Supervisor,0PqJ7LSknltqqMNqPDClNA,28/10/2016,0,210626,0.402,1.19E-05,0.75,0.959,0.122,0.58,-7.358,0.0293,149.941,2,4,Sad
Alison,Souvlaki,Slowdive,55CenVQ4alvDJ1PS8aYB0m,1993,0,231893,0.279,0.00957,0.423,0.837,0.128,0.291,-12.06,0.038,101.571,4,4,Sad
All I Want,The Kodaline EP,Kodaline,1XczdQt6RKNkEQfPqUsi3q,7/09/2012,29,306600,0.189,0.113,0.427,0.0923,0.058,0.158,-9.08,0.0449,187.212,0,3,Sad
All Mirrors,All Mirrors,Angel Olsen,4ZQdynvfiayhdoq5lcuCQ1,31/07/2019,1,282026,0.429,0.00299,0.689,0.00193,0.152,0.23,-7.38,0.0379,105.04,7,4,Sad
All of Me,Love In The Future (Expanded Edition),John Legend,3U4isOIWM3VvDubwSI3y7a,30/08/2013,85,269560,0.422,0.922,0.264,0,0.132,0.331,-7.064,0.0322,119.93,8,4,Sad
Anchor,Anchor,Novo Amor,6x6XKEUcCJGUACD4Xh7KuP,23/10/2015,0,256282,0.486,0.755,0.356,0.861,0.0986,0.111,-13.649,0.0318,117.141,9,4,Sad
Andromeda,Andromeda,Weyes Blood,0L6lVIgGqVHnmR3BIy8GHa,17/01/2019,36,280186,0.463,0.367,0.462,0.0012,0.356,0.189,-7.94,0.0272,131.273,1,4,Sad
Angel's Song,Angel's Song,Arlo Parks,5hXTMmVXz1Ablgu34BkTz1,20/11/2019,58,197243,0.693,0.894,0.195,0.0325,0.126,0.315,-15.278,0.0446,116.725,11,4,Sad
Ashes to Ashes,Ashes to Ashes,Warpaint,2lJa0SY7vZpvJ7QDFanOuZ,5/10/2010,51,310226,0.696,0.186,0.871,0.0282,0.173,0.8,-6.482,0.0357,118.938,1,4,Sad
Bad Feeling,Bad Feeling,Muzz,1qUaWLUot3Iik95S09cdSZ,12/03/2020,39,157930,0.512,0.351,0.352,0.74,0.106,0.275,-9.093,0.0354,82.943,5,4,Sad
Bad Kingdom,Gold,May,7vCuaxRIKElwgjSAo5REkw,19/01/2018,57,193220,0.401,0.934,0.199,0.0064,0.112,0.0744,-14.409,0.0355,118.351,9,4,Sad
Bad Timing,Bad Timing,Arlo Day,2KSCegx6TosQQEgmhJKNQa,15/04/2019,30,254886,0.471,0.689,0.289,0.000535,0.0865,0.225,-9.784,0.0258,146.352,6,4,Sad
Ballad of the Dying Man,Ballad of the Dying Man,Father John Misty,65w8nArxPq2EzOAhteymf0,1/02/2017,0,290736,0.399,0.848,0.443,0.000406,0.0899,0.265,-9.168,0.0272,139.643,5,4,Sad
Be My Mistake,A Brief Inquiry Into Online Relationships,The 1975,0AG2l0IboWNSwjUkMr2Aq7,30/11/2018,39,256688,0.572,0.835,0.155,0.000137,0.0906,0.0949,-14.405,0.0344,109.923,6,3,Sad
Before You Go,Divinely Uninspired To A Hellish Extent (Extended Edition),Lewis Capaldi,2gMXnyrvIjhVBUZwvLZDMP,22/11/2019,85,215106,0.459,0.604,0.575,0,0.0885,0.183,-4.858,0.0573,111.881,3,4,Sad
Better Than Today,Better Than Today,Rhys Lewis,6MLHg35rlksBc5OBcdZvJi,4/01/2019,60,230353,0.387,0.736,0.234,0,0.084,0.408,-8.861,0.0373,78.65,0,4,Sad
Bird,Writing of Blues and Yellows (Deluxe Version),Billie Marten,6DzvC1VHpyTFfLBbAYBa7W,23/09/2016,55,220640,0.235,0.988,0.187,0.00197,0.106,0.118,-12.754,0.0347,85.962,6,4,Sad
Bison on the Plains,Bison on the Plains,Grandaddy,0e0hVla9NkILk2JWOwVCMW,19/11/2018,32,308800,0.476,0.285,0.522,0.0127,0.193,0.0973,-8.159,0.0281,133.874,9,4,Sad
Black Car,Black Car,Beach House,7ESnexsnylx85YfT6ZiSun,2/05/2018,0,251160,0.407,0.344,0.549,0.901,0.111,0.32,-10.244,0.0293,77.473,9,4,Sad
Bloodbuzz Ohio,Bloodbuzz Ohio,SOAK,2pfkaHd8arhESSxyJAou6g,25/11/2019,46,279967,0.441,0.715,0.268,1.49E-06,0.11,0.057,-8.173,0.0308,140.073,6,4,Sad
Bloom Innocent,Bloom Innocent,Fink,7zNT9GE070fYjnhx6TFWnQ,4/09/2019,20,416353,0.519,0.931,0.236,0.133,0.127,0.283,-18.378,0.0362,80.008,2,4,Sad
Breathe Me,Colour The Small One,Sia,7jqzZyJJLrpkRFYGpkqSK6,1/01/2004,68,272800,0.552,0.0364,0.643,0.74,0.105,0.212,-7.36,0.0327,120.012,0,4,Sad
Bruises,Divinely Uninspired To A Hellish Extent,Lewis Capaldi,4Of7rzpRpV1mWRbhp5rAqG,17/05/2019,84,220492,0.736,0.946,0.308,0,0.186,0.361,-7.83,0.0677,111.202,4,4,Sad
Chariot,B-Sides and Rarities,Beach House,6dB3Uad2TOaJcGKpM3zizO,30/06/2017,42,316507,0.374,0.663,0.426,0.607,0.0886,0.0902,-7.395,0.0315,102.174,10,4,Sad
