,Name,Album,Artist,Release_date,Release_year,Length,Popularity,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Valence,Loudness,Speechiness,Tempo,Time_signature
0,Hoops,Hoops,The Rubens,23/10/2015,2015,158946,0,0.248,0.738,0.517,2.27E-05,0.468,0.772,-5.82,0.0321,96.037,4
1,King Kunta,To Pimp A Butterfly,Kendrick Lamar,16/03/2015,2015,234693,72,0.00589,0.884,0.657,0,0.154,0.489,-4.569,0.0977,107.059,4
2,Lean On (feat. MØ & DJ Snake),Peace Is The Mission,Major Lazer,1/06/2015,2015,176561,0,0.00346,0.723,0.809,0.00123,0.565,0.274,-3.081,0.0625,98.007,4
3,The Less I Know The Better,Currents,Tame Impala,17/07/2015,2015,216320,84,0.0115,0.64,0.74,0.00678,0.167,0.785,-4.083,0.0284,116.879,4
4,Let It Happen,Currents,Tame Impala,17/07/2015,2015,467586,74,0.00462,0.602,0.881,0.0266,0.111,0.577,-5.875,0.0443,125.012,4
5,The Trouble with Us,Work EP,Marcus Marr,4/12/2015,2015,222066,0,0.338,0.828,0.744,0.000774,0.158,0.831,-4.932,0.0646,121.09,4
6,Do You Remember,Jarryd James EP,Jarryd James,3/09/2015,2015,234426,35,0.169,0.662,0.334,0.000458,0.124,0.315,-10.012,0.0584,72.014,4
7,The Buzz (feat. Mataya & Young Tapz),Dark Night Sweet Light,Hermitude,28/08/2015,2015,221786,56,0.33,0.739,0.583,0.00137,0.122,0.497,-6.434,0.173,140.941,4
8,Can't Feel My Face,Beauty Behind The Madness,The Weeknd,28/08/2015,2015,213520,0,0.124,0.702,0.77,0,0.103,0.593,-5.416,0.0482,107.951,4
9,Magnets,Caracal (Deluxe),Disclosure,25/09/2015,2015,199245,62,0.0626,0.704,0.628,1.49E-06,0.103,0.654,-7.882,0.162,92.005,4
10,Never Be,Never Be,Meg Mac,7/08/2015,2015,253043,29,0.262,0.572,0.592,4.06E-05,0.0967,0.271,-8.195,0.0379,99.915,4
11,You Were Right,You Were Right,RÜFÜS DU SOL,26/06/2015,2015,238646,0,0.0122,0.708,0.802,0.00299,0.117,0.701,-5.427,0.0379,121.973,4
12,Ocean Drive,Blasé Boys Club (Pt. 1),Duke Dumont,2/10/2015,2015,206320,39,0.00637,0.686,0.718,0.000703,0.119,0.557,-5.054,0.0431,115.026,4
13,Hotline Bling,Hotline Bling,Drake,31/07/2015,2015,267023,0,0.00257,0.896,0.623,0.000258,0.039,0.585,-8.008,0.0571,134.962,4
14,Like Soda,Like Soda,Violent Soho,8/10/2015,2015,241507,0,0.0145,0.359,0.911,0,0.0508,0.252,-3.791,0.0767,133.624,4
15,Fire and the Flood,Dream Your Life Away (Deluxe Edition),Vance Joy,4/09/2015,2015,249382,0,0.026,0.6,0.79,0,0.0959,0.345,-5.466,0.0365,115.063,4
16,Middle,Middle,DJ Snake,16/10/2015,2015,220573,0,0.0175,0.564,0.737,0,0.054,0.211,-4.079,0.0414,104.764,4
17,"Downtown (feat. Melle Mel, Grandmaster Caz, Kool Moe Dee & Eric Nally)","Downtown (feat. Melle Mel, Grandmaster Caz, Kool Moe Dee & Eric Nally)",Macklemore & Ryan Lewis,27/08/2015,2015,292593,0,0.0916,0.828,0.609,1.21E-06,0.291,0.707,-4.402,0.0694,109.725,4
18,The Hills,Beauty Behind The Madness,The Weeknd,28/08/2015,2015,242253,0,0.0861,0.356,0.567,0,0.137,0.109,-7.011,0.0798,135.553,5
19,Mountain at My Gates,What Went Down,Foals,28/08/2015,2015,244293,65,0.0025,0.495,0.931,0.0783,0.246,0.617,-5.336,0.0469,104.05,4
20,Magnolia,The Positions,Gang of Youths,17/04/2015,2015,311906,0,0.618,0.429,0.665,0.0135,0.0985,0.321,-6.985,0.0327,92.33,4
21,Keeping Score (feat. Paige IV),Keeping Score (feat. Paige IV),L D R U,25/09/2015,2015,182950,45,0.0245,0.629,0.618,0,0.0938,0.644,-5.51,0.0918,92.071,4
22,Embracing Me,Embracing Me,SAFIA,10/07/2015,2015,231041,0,0.4,0.716,0.681,0,0.108,0.167,-5.144,0.073,109.967,4
23,Some Minds (feat. Andrew Wyatt),Some Minds (feat. Andrew Wyatt),Flume,29/05/2015,2015,263764,0,0.316,0.263,0.555,5.78E-05,0.128,0.191,-6.884,0.0446,79.783,4
24,Shine On,Shine On,The Amity Affliction,13/11/2015,2015,225311,45,0.0154,0.48,0.973,0,0.451,0.495,-2.586,0.092,94.332,4
25,I Know There's Gonna Be (Good Times),In Colour,Jamie xx,1/06/2015,2015,213622,6,0.117,0.458,0.595,0,0.506,0.502,-9.912,0.217,89.571,4
26,Young,Vallis Alps,Vallis Alps,6/01/2015,2015,324122,57,0.72,0.584,0.384,0.288,0.0964,0.184,-12.144,0.0675,93.981,4
